family,cluster,load,policy,n,mean_delta,ci95_low,ci95_high,wins,losses
pred_error,homog,high,d1_cheap,10,-0.00225,-0.01055,0.00605,2,4
pred_error,homog,high,d1_cheap_nomad_ff,10,0.00225,-0.00164,0.00613,5,2
pred_error,homog,high,d2_capacity,10,-0.00169,-0.00951,0.00614,3,3
pred_error,homog,high,d2_capacity_nomad_ff,10,-0.00112,-0.00606,0.00382,3,5
pred_error,homog,high,ff_only_cheap,10,0.00225,-0.00164,0.00613,5,2
pred_error,homog,high,hybrid,10,-0.00618,-0.01646,0.00410,2,5
pred_error,homog,high,spread,10,0.00674,-0.00079,0.01427,6,2
pred_error,homog,high,tetris,10,-0.00618,-0.01680,0.00444,2,6
pred_error,homog,high,wmatch,10,0.00000,0.00000,0.00000,0,0
pred_error,homog,low,balance,10,0.00000,0.00000,0.00000,0,0
pred_error,homog,low,d1_cheap,10,0.00000,0.00000,0.00000,0,0
pred_error,homog,low,d1_cheap_nomad_ff,10,0.00000,0.00000,0.00000,0,0
pred_error,homog,low,d2_capacity,10,0.00000,0.00000,0.00000,0,0
pred_error,homog,low,d2_capacity_nomad_ff,10,0.00000,0.00000,0.00000,0,0
pred_error,homog,low,ff_only_cheap,10,0.00000,0.00000,0.00000,0,0
pred_error,homog,low,hybrid,10,0.00000,0.00000,0.00000,0,0
pred_error,homog,low,spread,10,0.00000,0.00000,0.00000,0,0
pred_error,homog,low,tetris,10,0.00000,0.00000,0.00000,0,0
pred_error,homog,low,wmatch,10,0.00000,0.00000,0.00000,0,0
pred_error,homog,med,balance,10,0.00000,0.00000,0.00000,0,0
pred_error,homog,med,d1_cheap,10,0.00000,0.00000,0.00000,0,0
pred_error,homog,med,d1_cheap_nomad_ff,10,0.00000,0.00000,0.00000,0,0
pred_error,homog,med,d2_capacity,10,0.00000,0.00000,0.00000,0,0
